ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,FT921-3939,LEX.TXT,0.24272,0.55556,0.33784,1
ROUGE-1,AP900912-0061,LEX.TXT,0.34653,0.34314,0.34483,1
ROUGE-1,AP890901-0154,LEX.TXT,0.34951,0.37895,0.36364,1
ROUGE-1,LA112290-0168,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,FT924-11880,LEX.TXT,0.28972,0.43056,0.34637,1
ROUGE-1,WSJ891030-0101,LEX.TXT,0.29358,0.47059,0.36158,1
ROUGE-1,LA031189-0043,LEX.TXT,0,0,0,1
ROUGE-1,SJMN91-06171095,LEX.TXT,0.19048,0.25,0.21622,1
ROUGE-1,AP890525-0127,LEX.TXT,0.26923,0.35443,0.30601,1
ROUGE-1,FT931-2934,LEX.TXT,0.32381,0.44156,0.37363,1
ROUGE-1,AP890831-0158,LEX.TXT,0.27723,0.63636,0.38621,1
ROUGE-1,AP900714-0083,LEX.TXT,0.2,0.25926,0.22581,1
ROUGE-1,SJMN91-06339143,LEX.TXT,0.32143,0.41379,0.36181,1
ROUGE-1,AP880711-0197,LEX.TXT,0.25714,0.40909,0.31579,1
ROUGE-1,WSJ891026-0063,LEX.TXT,0.16071,0.26471,0.2,1
ROUGE-1,AP900625-0289,LEX.TXT,0.48113,0.54839,0.51256,1
ROUGE-1,LA072389-0049,LEX.TXT,0.0087,1,0.01724,1
ROUGE-1,SJMN91-06338157,LEX.TXT,0.40404,0.47059,0.43478,1
ROUGE-1,WSJ910228-0028,LEX.TXT,0.18868,0.32787,0.23952,1
ROUGE-1,SJMN91-06167046,LEX.TXT,0.2451,0.32468,0.27933,1
ROUGE-1,WSJ900718-0065,LEX.TXT,0.15315,0.32075,0.20732,1
ROUGE-1,WSJ890817-0069,LEX.TXT,0.19626,0.4375,0.27097,1
ROUGE-1,LA112389-0104,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,AP890322-0078,LEX.TXT,0.43519,0.55294,0.48705,1
ROUGE-1,LA011389-0019,LEX.TXT,0.00926,1,0.01835,1
ROUGE-1,WSJ911227-0037,LEX.TXT,0.26168,0.32558,0.29016,1
ROUGE-1,SJMN91-06052157,LEX.TXT,0.21101,0.42593,0.28221,1
ROUGE-1,WSJ870918-0042,LEX.TXT,0.24272,0.27473,0.25773,1
ROUGE-1,FT921-8958,LEX.TXT,0.33333,0.40506,0.36571,1
ROUGE-1,AP891125-0090,LEX.TXT,?,?,0,0
ROUGE-1,AP890228-0019,LEX.TXT,0.19792,0.38,0.26027,1
ROUGE-1,WSJ880701-0160,LEX.TXT,0.24468,0.35938,0.29114,1
ROUGE-1,SJMN91-06134118,LEX.TXT,0.19608,0.25974,0.22346,1
ROUGE-1,SJMN91-06317223,LEX.TXT,0.25743,0.26263,0.26,1
ROUGE-1,AP890127-0271,LEX.TXT,0.40385,0.38532,0.39437,1
ROUGE-1,AP890814-0049,LEX.TXT,0.22314,0.51923,0.31214,1
ROUGE-1,FT924-11508,LEX.TXT,0.13514,0.33333,0.19231,1
ROUGE-1,AP890914-0207,LEX.TXT,0.40777,0.71186,0.51852,1
ROUGE-1,FT941-15870,LEX.TXT,0.27957,0.38235,0.32298,1
ROUGE-1,SJMN91-06154062,LEX.TXT,?,?,0,0
ROUGE-1,WSJ911016-0124,LEX.TXT,0.17,0.2125,0.18889,1
ROUGE-1,AP890519-0070,LEX.TXT,0.40777,0.53165,0.46154,1
ROUGE-1,LA033089-0030,LEX.TXT,0.00893,1,0.0177,1
ROUGE-1,FT922-10715,LEX.TXT,0.26471,0.48214,0.34177,1
ROUGE-1,SJMN91-06067095,LEX.TXT,0.2549,0.35616,0.29714,1
ROUGE-1,AP900601-0099,LEX.TXT,0.43925,0.73438,0.54971,1
ROUGE-1,SJMN91-06189077,LEX.TXT,0.15842,0.27586,0.20126,1
ROUGE-1,AP881022-0011,LEX.TXT,0.42268,0.46067,0.44086,1
ROUGE-1,WSJ911016-0126,LEX.TXT,0.26168,0.37838,0.30939,1
ROUGE-1,LA011790-0024,LEX.TXT,0,0,0,1
ROUGE-1,AP901213-0236,LEX.TXT,0.27184,0.49123,0.35,1
ROUGE-1,SJMN91-06070029,LEX.TXT,0.17757,0.26389,0.21229,1
ROUGE-1,AP901210-0077,LEX.TXT,0.33333,0.58065,0.42353,1
ROUGE-1,WSJ910222-0008,LEX.TXT,0.24762,0.30952,0.27513,1
ROUGE-1,SJMN91-06081020,LEX.TXT,0.18692,0.32787,0.2381,1
ROUGE-1,SJMN91-06081262,LEX.TXT,0.31068,0.43243,0.36158,1
ROUGE-1,AP900312-0193,LEX.TXT,0.16667,0.22667,0.19209,1
ROUGE-1,AP900529-0104,LEX.TXT,0.26471,0.28723,0.27551,1
